dataset_id,batch,original_filename,ext,storage_path,width,height,orientation,corrupted,corrupt_reason,file_size_bytes,sha1,duplicate_of,phash,house_group_id,split,status
0001,batch1,0001.webp,webp,roofline/images/0001.webp,1536,1152,landscape,False,,522114,bec6851c89c289acc40d28040e9e7c5572f43da1,,c797630a0c4ef0f3,HG-0001,train,pending
0002,batch1,0002.webp,webp,roofline/images/0002.webp,1536,1152,landscape,False,,493586,baa904f39f482c2c07c8f45d34c8350cd63b5b74,,8edc39cb6710a157,HG-0002,train,pending
0003,batch1,0004.webp,webp,roofline/images/0003.webp,1920,1280,landscape,False,,852938,5aee47aa415c512dbf4eaa629c4518aa6763e7c6,,d0d0d2f2337b8d1c,HG-0003,train,pending
0004,batch1,0005.webp,webp,roofline/images/0004.webp,1024,681,landscape,False,,119162,e165f658cf6bd411786dd1d63d30a24de23deca1,,8ee8ca5e0625d735,HG-0004,train,pending
0005,batch1,0006.webp,webp,roofline/images/0005.webp,1920,1280,landscape,False,,266148,d3a1ee58bddf3775beded3e29f78fa17453acbd0,,c0bfbfe106123b49,HG-0005,train,pending
0006,batch1,0007.webp,webp,roofline/images/0006.webp,1536,1066,landscape,False,,424658,634a3201c293ce36185d3586e33f958c386f8759,,d75eda1c6c2d1462,HG-0006,train,pending
0007,batch1,0008.webp,webp,roofline/images/0007.webp,1536,1017,landscape,False,,277298,4e692e40b54f54118c3219f8ea7e5d44e053aa98,,8463af54eeb8512b,HG-0007,train,pending
0008,batch1,0009.webp,webp,roofline/images/0008.webp,1536,1150,landscape,False,,403620,fe50c5d902d011150d918e0af0f3a26a32778dee,,df9762422fe15099,HG-0008,train,pending
0009,batch1,0010.webp,webp,roofline/images/0009.webp,1536,1152,landscape,False,,384826,f675f5636ac806ad79654379c7e3fcef993f39a2,,e4e49a9a3a70f165,HG-0009,train,pending
0010,batch1,0011.webp,webp,roofline/images/0010.webp,1536,1152,landscape,False,,250682,27eea47acb994f5672e8c0351d3ab4ced410fb0b,,8792e471a704bf9a,HG-0010,train,pending
0011,batch1,0012.webp,webp,roofline/images/0011.webp,1536,1067,landscape,False,,405150,69379acab370e45123f768e17646150fe869fcae,,8c76634d9a966996,HG-0011,train,pending
0012,batch1,0013.webp,webp,roofline/images/0012.webp,1536,1024,landscape,False,,458456,47cbd6816a1a25d3911ec77783550253b0ef641d,,8d21ba2cbe5a3672,HG-0012,train,pending
0013,batch1,0016.webp,webp,roofline/images/0013.webp,1536,1152,landscape,False,,352336,05e7a10e7743e80a370687532b5f49ba6d39c269,,93ec5c1164166eaf,HG-0013,train,pending
0014,batch1,0017.webp,webp,roofline/images/0014.webp,1536,1152,landscape,False,,343958,a5015cc53020dd8e69fcc5a3e11007a9439f2e4d,,84fcd95b5aca426a,HG-0014,val,pending
0015,batch1,0018.webp,webp,roofline/images/0015.webp,1536,1152,landscape,False,,450580,ca48f51ed3ef598a8742e2d2adbf7969a58ed12d,,bd8c9e571382cd61,HG-0015,train,pending
0016,batch1,0019.webp,webp,roofline/images/0016.webp,1536,1065,landscape,False,,410976,5ecc40340fd52131820887147fa009b8e78abc69,,ac6d1b5222bf6b82,HG-0016,holdout,pending
0017,batch1,0020.webp,webp,roofline/images/0017.webp,1536,1061,landscape,False,,318730,d8e6c480618de414e1ad345e9d5089df620ab441,,9146b8726f8dd23a,HG-0017,train,pending
0018,batch1,0021.webp,webp,roofline/images/0018.webp,1536,1067,landscape,False,,411816,65c4151d888eaeb01773d3f7c500268704834b2c,,9417e383145ceb6b,HG-0018,train,pending
0019,batch1,0022.webp,webp,roofline/images/0019.webp,1536,1152,landscape,False,,599188,9cc3142c3924ffc4ec586c7fb35191a7ecb0b354,,df5fc2842071f531,HG-0019,train,pending
0020,batch1,0024.jpg,jpg,roofline/images/0020.jpg,1280,853,landscape,False,,687552,2eae3a9ba2e234cbfe7594c2264c169f3bf56276,,c0d6367ae8353749,HG-0020,train,pending
0021,batch1,0025.jpg,jpg,roofline/images/0021.jpg,1280,853,landscape,False,,457582,06e9f463d55f6e0a0a26e75951e3e16a0eac74d2,,de254120b2f5ccbe,HG-0021,train,pending
0022,batch1,0026.webp,webp,roofline/images/0022.webp,1920,1280,landscape,False,,315860,7ac52d0c7b6070ee5ececbe0b937ad936f0ebb16,,e31c9d22f9866cd1,HG-0022,train,pending
0023,batch1,0027.webp,webp,roofline/images/0023.webp,1536,1152,landscape,False,,489312,1e59f087d49f29d78b1cb16258caffbc0aecc386,,bea42774c490fe62,HG-0023,holdout,pending
0024,batch1,0028.webp,webp,roofline/images/0024.webp,1536,1152,landscape,False,,535648,fd83c3ba8cc69c9774bcfb88ea0afd2ef05335aa,,e2f1b482f8c93a65,HG-0024,train,pending
0025,batch1,0029.webp,webp,roofline/images/0025.webp,1536,1063,landscape,False,,373190,65d2be656a3856abb2766f1172c6353f652f0a5e,,a626f335f3ea14c0,HG-0025,train,pending
0026,batch1,0030.webp,webp,roofline/images/0026.webp,1200,799,landscape,False,,161016,97682ca7c90631c2754ae45287eb5fdb7986002e,,c5c8b9c50ecc7c9a,HG-0026,val,pending
0027,batch1,0032.webp,webp,roofline/images/0027.webp,1536,1152,landscape,False,,363972,9052bf7ccaf9503cbba8c5d20039b9cc8f80f949,,9fb0c1701e39e54e,HG-0027,val,pending
